zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
H,H,1.0,0.05968778696051423,0.10376492194674013,0.992653810835629,0.04499540863177227,0.20018365472910926,0.1463116008570554,0.253749617385981,0.31711049892868076,0.16222834404652586,0.16467707376798285,0.06489133761861035,0.08907254361799816,0.2846648301193756,0.04530149984695439,0.05570860116314662,0.12672176308539945,0.20355065809611264,0.019589837771655953,0.11019283746556474,0.06489133761861035,0.12182430364248546,0.008570554025099479,0.0009182736455463728,0.009794918885827977,0.0416284052647689,0.07131925313743495,0.012855831037649219,0.0832568105295378,0.06060606060606061
H,B,0.05968778696051423,0.05968778696051423,0.003979185797367615,0.05938169574533211,0.003060912151821243,0.015610651974288337,0.017141108050198958,0.016222834404652588,0.02295684113865932,0.0009182736455463728,0.002448729721456994,0.0073461891643709825,0.0027548209366391185,0.027548209366391185,0.001224364860728497,0.0009182736455463728,0.004591368227731864,0.005509641873278237,0.0,0.001224364860728497,0.0,0.0006121824303642485,0.0,0.0,0.0,0.001224364860728497,0.0015304560759106215,0.0,0.0,0.0021426385062748698
H,C,0.10376492194674013,0.003979185797367615,0.10376492194674013,0.09947964493419038,0.0036730945821854912,0.020508111417202327,0.016835016835016835,0.015304560759106214,0.014080195898377716,0.005203550658096113,0.009182736455463728,0.0058157330884603614,0.003367003367003367,0.030609121518212427,0.0006121824303642485,0.0018365472910927456,0.005203550658096113,0.006734006734006734,0.0036730945821854912,0.011019283746556474,0.004897459442913988,0.001224364860728497,0.0,0.0,0.0,0.0042852770125497396,0.008876645240281604,0.0,0.012549739822467095,0.018365472910927456
H,O,0.992653810835629,0.05938169574533211,0.09947964493419038,0.992653810835629,0.0440771349862259,0.20018365472910926,0.1463116008570554,0.253749617385981,0.3164983164983165,0.16222834404652586,0.16467707376798285,0.0630547903275176,0.08907254361799816,0.2846648301193756,0.04530149984695439,0.055402509947964494,0.12672176308539945,0.20355065809611264,0.01928374655647383,0.10988674625038261,0.06489133761861035,0.12182430364248546,0.008570554025099479,0.0009182736455463728,0.009794918885827977,0.0416284052647689,0.07101316192225283,0.012549739822467095,0.0832568105295378,0.06060606060606061
H,F,0.04499540863177227,0.003060912151821243,0.0036730945821854912,0.0440771349862259,0.04499540863177227,0.017447199265381085,0.007040097949188858,0.02509947964493419,0.018977655341291706,0.009794918885827977,0.0073461891643709825,0.002448729721456994,0.004591368227731864,0.018977655341291706,0.006121824303642486,0.0006121824303642485,0.004897459442913988,0.005203550658096113,0.0,0.0018365472910927456,0.00030609121518212427,0.0009182736455463728,0.0,0.0,0.0,0.004897459442913988,0.0018365472910927456,0.0,0.002448729721456994,0.005509641873278237
H,Na,0.20018365472910926,0.015610651974288337,0.020508111417202327,0.20018365472910926,0.017447199265381085,0.20018365472910926,0.033363942454851546,0.057545148454239366,0.11049892868074686,0.027548209366391185,0.0315273951637588,0.011631466176920723,0.025405570860116314,0.05815733088460361,0.025405570860116314,0.008570554025099479,0.025405570860116314,0.039179675543311906,0.0006121824303642485,0.004897459442913988,0.003367003367003367,0.011325374961738598,0.0006121824303642485,0.0,0.001224364860728497,0.013468013468013467,0.0009182736455463728,0.00030609121518212427,0.010101010101010102,0.012549739822467095
H,Mg,0.1463116008570554,0.017141108050198958,0.016835016835016835,0.1463116008570554,0.007040097949188858,0.033363942454851546,0.1463116008570554,0.04621977349250077,0.05081114172023263,0.026323844505662688,0.01867156412610958,0.008570554025099479,0.015304560759106214,0.04040404040404041,0.0036730945821854912,0.0073461891643709825,0.013468013468013467,0.023875114784205693,0.0006121824303642485,0.004897459442913988,0.004897459442913988,0.012243648607284972,0.00030609121518212427,0.0,0.0006121824303642485,0.003367003367003367,0.0021426385062748698,0.00030609121518212427,0.0073461891643709825,0.004897459442913988
H,Al,0.253749617385981,0.016222834404652588,0.015304560759106214,0.253749617385981,0.02509947964493419,0.057545148454239366,0.04621977349250077,0.253749617385981,0.12549739822467096,0.05234159779614325,0.0416284052647689,0.010101010101010102,0.02509947964493419,0.08356290174471992,0.003060912151821243,0.009488827670645853,0.022650749923477195,0.04224058769513315,0.0018365472910927456,0.011937557392102846,0.007040097949188858,0.013161922252831344,0.001224364860728497,0.0,0.0015304560759106215,0.010407101316192225,0.008264462809917356,0.00030609121518212427,0.006427915518824609,0.018365472910927456
H,Si,0.31711049892868076,0.02295684113865932,0.014080195898377716,0.3164983164983165,0.018977655341291706,0.11049892868074686,0.05081114172023263,0.12549739822467096,0.31711049892868076,0.004591368227731864,0.011019283746556474,0.010713192531374349,0.049586776859504134,0.13192531374349556,0.036118763391490664,0.008570554025099479,0.05785123966942149,0.06580961126415671,0.0021426385062748698,0.008876645240281604,0.009794918885827977,0.005203550658096113,0.00030609121518212427,0.0,0.0006121824303642485,0.023262932353841446,0.010101010101010102,0.00030609121518212427,0.006121824303642486,0.03091521273339455
H,P,0.16222834404652586,0.0009182736455463728,0.005203550658096113,0.16222834404652586,0.009794918885827977,0.027548209366391185,0.026323844505662688,0.05234159779614325,0.004591368227731864,0.16222834404652586,0.006427915518824609,0.00030609121518212427,0.010407101316192225,0.04132231404958678,0.003060912151821243,0.0042852770125497396,0.03091521273339455,0.05479032751760025,0.0006121824303642485,0.012243648607284972,0.013774104683195593,0.0027548209366391185,0.0,0.0,0.0,0.009794918885827977,0.008264462809917356,0.003367003367003367,0.015610651974288337,0.0073461891643709825
