zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
Ag,S,0.004464285714285714,0.0,0.0,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.7633928571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.03571428571428571,0.09821428571428571,0.004464285714285714,0.22767857142857142,0.049107142857142856,0.25892857142857145,0.017857142857142856,0.7633928571428571,0.33035714285714285,0.0,0.32142857142857145,0.15178571428571427,0.0,0.0
Ag,Cl,0.013392857142857142,0.0,0.0,0.022321428571428572,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.04017857142857143,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.013392857142857142,0.004464285714285714,0.004464285714285714,0.0,0.04017857142857143,0.004464285714285714,0.0,0.017857142857142856,0.0,0.0,0.0
Ag,K,0.004464285714285714,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.004464285714285714,0.0,0.0,0.0
Ag,Ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,Ti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,V,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Ag,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.004464285714285714,0.0,0.0,0.0,0.013392857142857142,0.0,0.03571428571428571,0.026785714285714284,0.0,0.022321428571428572,0.0,0.0,0.0
Ag,Fe,0.004464285714285714,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.09821428571428571,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.09821428571428571,0.004464285714285714,0.03125,0.013392857142857142,0.022321428571428572,0.004464285714285714,0.09821428571428571,0.03571428571428571,0.0,0.017857142857142856,0.008928571428571428,0.0,0.0
Ag,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.004464285714285714,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Ag,Cu,0.008928571428571428,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.22767857142857142,0.013392857142857142,0.004464285714285714,0.0,0.0,0.0,0.0,0.03125,0.0,0.2857142857142857,0.03125,0.08035714285714286,0.03125,0.2857142857142857,0.08928571428571429,0.0,0.10714285714285714,0.0625,0.0,0.0
Ag,Zn,0.004464285714285714,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.049107142857142856,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.013392857142857142,0.0,0.03125,0.05357142857142857,0.022321428571428572,0.0,0.05357142857142857,0.022321428571428572,0.0,0.004464285714285714,0.0,0.0,0.0
Ag,As,0.0,0.0,0.0,0.013392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.25892857142857145,0.004464285714285714,0.0,0.0,0.0,0.004464285714285714,0.013392857142857142,0.022321428571428572,0.0,0.08035714285714286,0.022321428571428572,0.28125,0.004464285714285714,0.28125,0.11607142857142858,0.0,0.11607142857142858,0.0,0.0,0.0
Ag,Se,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.03125,0.0,0.004464285714285714,0.06696428571428571,0.06696428571428571,0.008928571428571428,0.0,0.008928571428571428,0.013392857142857142,0.0,0.0
